"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","82238","Consulta de Comprobantes","","Tue Mar 11 16:50:23 ART 2025","passed","Tue Mar 11 16:51:45 ART 2025","","Consulta de Comprobantes","Consulta de Comprobantes","Consulta de Comprobantes"
"","507","Extrae texto de un archivo PDF y valida","","Tue Mar 11 17:14:03 ART 2025","passed","Tue Mar 11 17:14:03 ART 2025","","Test de extracción de texto de PDF","Test de extracción de texto de PDF","Extrae texto de un archivo PDF y valida"
"","26529","Objetos_Consultar_Operacion_Catastro","","Tue Mar 11 16:48:57 ART 2025","passed","Tue Mar 11 16:49:23 ART 2025","","Objetos_Consultar_Operacion_Catastro","Objetos_Consultar_Operacion_Catastro","Objetos_Consultar_Operacion_Catastro"
"","32643","Atencion Primaria Emision de Deuda Estado Cuenta ACTA","","Tue Mar 11 16:41:36 ART 2025","passed","Tue Mar 11 16:42:08 ART 2025","","Atencion_Primaria_Emision_Deuda_Estado_Cuenta_ACTA","Atencion_Primaria_Emision_Deuda_Estado_Cuenta_ACTA","Atencion Primaria Emision de Deuda Estado Cuenta ACTA"
"","45023","Emision de Tasa","","Tue Mar 11 16:52:38 ART 2025","passed","Tue Mar 11 16:53:23 ART 2025","","Emision de Tasa","Emision de Tasa","Emision de Tasa"
"","109857","Ingreso Full Web1_2","","Tue Mar 11 16:57:43 ART 2025","passed","Tue Mar 11 16:59:33 ART 2025","","Ingreso Full Web1_2","Ingreso Full Web1_2","Ingreso Full Web1_2"
"","2225","Usuario vacio y contraseña válida","","Tue Mar 11 16:42:57 ART 2025","passed","Tue Mar 11 16:43:00 ART 2025","","Login_GC","Login_GC","Usuario vacio y contraseña válida"
"","2015","Usuario no válido y contraseña no válida","","Tue Mar 11 16:42:55 ART 2025","passed","Tue Mar 11 16:42:57 ART 2025","","Login_GC","Login_GC","Usuario no válido y contraseña no válida"
"","28260","Cuenta_Corriente","","Tue Mar 11 16:53:26 ART 2025","passed","Tue Mar 11 16:53:54 ART 2025","","Cuenta_Corriente","Cuenta_Corriente","Cuenta_Corriente"
"","11620","Usuario y Contraseña Válido","","Tue Mar 11 16:42:40 ART 2025","passed","Tue Mar 11 16:42:51 ART 2025","","Login_GC","Login_GC","Usuario y Contraseña Válido"
"","2027","Usuario no válido y contraseña válida","","Tue Mar 11 16:42:53 ART 2025","passed","Tue Mar 11 16:42:55 ART 2025","","Login_GC","Login_GC","Usuario no válido y contraseña válida"
"","1080","Convierte un PDF ya descargado en imagen","","Tue Mar 11 16:50:18 ART 2025","passed","Tue Mar 11 16:50:19 ART 2025","","Convertir PDF a JPG","Convertir PDF a JPG","Convierte un PDF ya descargado en imagen"
"","95341","Validar_Pantalla_Personas","","Tue Mar 11 16:43:04 ART 2025","passed","Tue Mar 11 16:44:40 ART 2025","","Personas_Valida_Pantalla","Personas_Valida_Pantalla","Validar_Pantalla_Personas"
"","148986","Personas_Crear_Nuevo_Domicilio","","Tue Mar 11 16:45:19 ART 2025","passed","Tue Mar 11 16:47:48 ART 2025","","Personas_Crear_Nuevo_Domicilio","Personas_Crear_Nuevo_Domicilio","Personas_Crear_Nuevo_Domicilio"
"","2060","Usuario válido y contraseña no válida","","Tue Mar 11 16:42:51 ART 2025","passed","Tue Mar 11 16:42:53 ART 2025","","Login_GC","Login_GC","Usuario válido y contraseña no válida"
"","222520","Ingreso Full Web1_1","","Tue Mar 11 16:53:57 ART 2025","passed","Tue Mar 11 16:57:40 ART 2025","","Ingreso Full Web1_1","Ingreso Full Web1_1","Ingreso Full Web1_1"
"","18684","Objetos_con_mas_de_30_vinculos","","Tue Mar 11 16:49:26 ART 2025","passed","Tue Mar 11 16:49:44 ART 2025","","Objetos_con_mas_de_30_vinculos","Objetos_con_mas_de_30_vinculos","Objetos_con_mas_de_30_vinculos"
"","36262","Atencion Primaria Emision de Deuda ACTA","","Tue Mar 11 16:40:23 ART 2025","passed","Tue Mar 11 16:41:00 ART 2025","","Atencion_Primaria_Emision_Deuda_ACTA","Atencion_Primaria_Emision_Deuda_ACTA","Atencion Primaria Emision de Deuda ACTA"
