"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25135","Validar pantalla Objetos","","Tue Mar 11 16:47:54 ART 2025","passed","Tue Mar 11 16:48:19 ART 2025","","Objetos_Valida_Pantalla","Objetos_Valida_Pantalla","Validar pantalla Objetos"
"","162835","Ingreso Full Web5","","Tue Mar 11 17:11:17 ART 2025","passed","Tue Mar 11 17:13:59 ART 2025","","Ingreso Full Web5","Ingreso Full Web5","Ingreso Full Web5"
"","21022","Objetos_Consultar_Objetos_por_Domicilio","","Tue Mar 11 16:42:10 ART 2025","passed","Tue Mar 11 16:42:31 ART 2025","","Objetos_Consultar_Objetos_por_Domicilio","Objetos_Consultar_Objetos_por_Domicilio","Objetos_Consultar_Objetos_por_Domicilio"
"","39663","Atencion Primaria Emision de Deuda","","Tue Mar 11 16:39:38 ART 2025","passed","Tue Mar 11 16:40:18 ART 2025","","Atencion_Primaria_Emision_Deuda","Atencion_Primaria_Emision_Deuda","Atencion Primaria Emision de Deuda"
"","196154","Ingreso Full Web3_1","","Tue Mar 11 17:03:10 ART 2025","passed","Tue Mar 11 17:06:26 ART 2025","","Ingreso Full Web3_1","Ingreso Full Web3_1","Ingreso Full Web3_1"
"","210770","Ingreso Full Web2","","Tue Mar 11 16:59:36 ART 2025","passed","Tue Mar 11 17:03:07 ART 2025","","Ingreso Full Web2","Ingreso Full Web2","Ingreso Full Web2"
"","23561","Juzgado de Falta","","Tue Mar 11 16:52:12 ART 2025","passed","Tue Mar 11 16:52:35 ART 2025","","Juzgado de Faltas","Juzgado de Faltas","Juzgado de Falta"
"","913","Verifica que las imágenes sean idénticas","","Tue Mar 11 17:14:32 ART 2025","passed","Tue Mar 11 17:14:33 ART 2025","","Comparación de Imágenes Descargadas","Comparación de Imágenes Descargadas","Verifica que las imágenes sean idénticas"
"","115357","Ingreso Full Web3_2","","Tue Mar 11 17:06:30 ART 2025","passed","Tue Mar 11 17:08:25 ART 2025","","Ingreso Full Web3_2","Ingreso Full Web3_2","Ingreso Full Web3_2"
"","21208","Apremio","","Tue Mar 11 16:51:48 ART 2025","passed","Tue Mar 11 16:52:09 ART 2025","","Apremio","Apremio","Apremio"
"","31320","Actividades Comercio","","Tue Mar 11 16:48:23 ART 2025","passed","Tue Mar 11 16:48:54 ART 2025","","Objetos_Actividades_Comercio","Objetos_Actividades_Comercio","Actividades Comercio"
"","33468","Atencion Primaria Emision de Deuda Estado Cuenta","","Tue Mar 11 16:41:01 ART 2025","passed","Tue Mar 11 16:41:34 ART 2025","","Atencion_Primaria_Emision_Deuda_ Estado_Cuenta","Atencion_Primaria_Emision_Deuda_ Estado_Cuenta","Atencion Primaria Emision de Deuda Estado Cuenta"
"","33749","Personas_Actualización_Datos","","Tue Mar 11 16:44:43 ART 2025","passed","Tue Mar 11 16:45:17 ART 2025","","Personas_Actualización_Datos","Personas_Actualización_Datos","Personas_Actualización_Datos"
"","1859","Usuario válido y contraseña vacía","","Tue Mar 11 16:43:00 ART 2025","passed","Tue Mar 11 16:43:02 ART 2025","","Login_GC","Login_GC","Usuario válido y contraseña vacía"
"","164984","Ingreso Full Web4","","Tue Mar 11 17:08:28 ART 2025","passed","Tue Mar 11 17:11:13 ART 2025","","Ingreso Full Web4","Ingreso Full Web4","Ingreso Full Web4"
